Round,femnist_norm_inspect_l2_total/benign,femnist_norm_inspect_l2_total/mal,femnist_norm_inspect_l1_total/benign,femnist_norm_inspect_l1_total/mal,femnist_norm_inspect_data_poison_l2_total/mal,femnist_norm_inspect_data_poison_l1_total/mal,femnist_norm_inspect_scaled_l2_total/mal,femnist_norm_inspect_scaled_l1_total/mal
1,5.476764202,9.744210243,8072.167969,14713.57031,6.368398666,9624.230469,292.3291016,441411.0625
2,4.260773659,8.873639107,5606.791992,13297.05371,5.993730545,8983.389648,265.9506226,398334.4688
3,4.097969532,8.442328453,5272.884766,11509.17969,4.874937057,6695.029785,253.9523773,348063.9063
4,4.14451313,8.736480713,5454.832031,12373.93457,5.864271164,8309.696289,261.4396667,369940.9688
5,4.041018486,8.82727623,5222.861328,12013.27051,5.87698698,8026.237305,263.5174561,357807.6875
6,4.045547485,9.178282738,5184.848633,12800.23145,6.107563496,8513.737305,275.7878113,384528.5938
7,4.068367958,9.184746742,5219.307617,12603.92383,6.113180161,8456.967773,276.0115662,381886.9375
8,4.003824234,9.065960884,5095.574707,12397.56641,5.092866421,6933.505859,272.338623,374411.5
9,4.126104832,9.353335381,5323.686523,13063.47168,6.25235939,8803.43457,280.9480591,393378.0625
10,4.021595955,9.254126549,5218.48877,12562.29297,5.131595135,6951.064453,278.3390808,378841.4063
11,4.320922852,9.338114738,5720.525879,12941.75098,6.179532051,8586.788086,279.6473694,387805.3438
12,3.919219017,9.118619919,5007.608887,12454.28809,6.040464878,8314.25293,275.0293579,380257.1563
13,3.853290796,9.725171089,5032.977051,13968.02734,6.454808712,9327.767578,289.1942444,414529.9063
14,3.869224548,9.490427971,4974.524414,13168.44922,6.253052235,8696.036133,283.9391174,393374.125
15,3.769651413,9.238940239,4765.417969,12754.13281,5.19507122,7171.854004,275.9299011,378960.875
16,3.748687267,9.484858513,4809.736328,13054.19531,6.230400562,8598.865234,283.8023987,390696.3438
17,3.89316988,9.226192474,4934.861328,12515.42871,5.192342758,7077.098145,277.8813782,378432.4375
18,3.802120447,9.359178543,4922.943848,12827.31055,5.193310738,7111.865234,279.7200928,383010.4375
19,3.71650219,9.408289909,4689.544922,12938.94238,6.21073246,8566.37207,282.5950928,389389.0938
20,3.805517673,9.305195808,4927.95166,12595.14844,6.100717068,8280.525391,278.4955444,377817.3438
21,3.902834177,9.30621624,5021.240723,12609.03613,6.127269268,8346.875,279.7848206,378244.6875
22,3.839882612,9.324213982,4889.828613,12707.05566,5.209143639,7122.375,278.6326599,379475.5938
23,3.617577314,9.393232346,4652.458496,13010.51563,5.266409874,7296.969727,280.1804199,385188.5
24,3.73060894,9.398468018,4784.472168,12800.57129,5.245451927,7190.476563,281.5704956,382435.0313
25,3.731747627,9.558119774,4773.552246,13173.7002,6.312972546,8724.56543,288.2021484,397571.4375
26,3.541770935,9.228382111,4359.634766,12495.3623,5.164332867,7000.319824,275.73349,372814.6875
27,3.528475523,9.573856354,4433.363281,13278.89844,5.300782681,7328.924316,285.5349426,394353.8438
28,3.611274958,9.441376686,4595.811523,12895.40137,6.212619305,8486.912109,283.1421509,385550.5938
29,3.643063545,9.192764282,4548.980957,12371.32031,5.128365993,6901.658691,275.8113098,371301.8125
30,3.578645229,9.368603706,4543.684082,12637.29199,6.193197727,8396.821289,281.1436157,379978.8438
31,3.428408384,9.329712868,4308.120117,12557.83691,3.969742298,5306.004395,280.6309814,377749.3125
32,3.587258816,9.129549026,4531.852051,12244.16016,3.948983908,5293.913574,274.8441467,368747
33,3.332322598,9.282474518,4130.822754,12300.33887,5.133488178,6818.374023,277.4815369,368753.5
34,3.540303707,9.694824219,4492.241699,13456.16895,6.363432407,8856.205078,288.0186157,397510.5
35,3.270244837,9.12756443,4048.282227,12083.33203,6.053041458,8075.577148,274.2054749,363350.7188
36,3.535014391,9.525186539,4526.807617,13119.12109,5.3934412,7481.634766,282.0765076,383989.0625
37,3.299784899,9.232381821,4042.161133,12372.24316,6.080694199,8182.354004,277.1829529,372413.3125
38,3.494129419,9.286182404,4469.443848,12572.78027,6.106800556,8258.408203,280.6390991,380043.3125
39,3.477651358,9.214435577,4372.225586,12223.1748,6.095576286,8145.178223,277.6407471,369026.3438
40,3.349070311,9.188792229,4193.097656,12288.22363,6.084028721,8176.429199,275.1459045,367256.4688
41,3.287032604,9.522828102,4079.939941,12984.20117,5.347528458,7361.273438,287.1274414,392190
42,3.203229189,9.199825287,3925.031982,12231.30859,6.104204178,8213.063477,278.34552,374238.5
43,3.000262737,9.303622246,3693.827148,12551.55664,6.137248516,8312.546875,279.1968384,378080
44,3.289325237,9.523360252,4161.929199,13057.4375,4.046834469,5558.187988,286.5011902,393838.5
45,3.265904665,9.049757957,4039.544678,11913.43066,6.004275799,7973.056152,273.0621643,360378.9375
46,3.251340628,9.206706047,4027.178711,12263.36621,6.150867462,8311.212891,276.1966553,367878.9375
47,3.243036985,9.240070343,3997.231201,12271.07715,5.168850899,6928.981934,277.2276001,369251.2813
48,3.151433468,9.424684525,3859.424805,12836.41797,6.299535275,8669.126953,284.1279602,387744.75
49,3.312433004,9.15131855,4021.859619,12157.9502,5.016804695,6696.954102,273.069519,363385.5625
50,3.23077631,9.148932457,3929.043701,12126.08008,6.097177982,8294.310547,276.6236572,369837.5
51,3.249907017,9.19712925,3988.149414,12372.96387,6.084277153,8191.096191,276.0350647,371607.5938
52,3.420536995,9.29798317,4236.00293,12314.54883,5.192133427,6967.102539,279.9646912,371680.125
53,2.86575675,9.234257698,3336.657715,12285.04395,5.210165501,7024.562012,279.2054443,375546.8125
54,3.083187819,9.384168625,3827.609131,12608.69629,5.237430573,7101.063477,284.6201782,382721.75
55,3.045653582,9.191708565,3729.755371,12311.64258,6.046282291,8158.74707,273.1510315,364156.4063
56,2.697975159,9.24119091,3157.315674,12321.94336,5.173577785,6955.144531,276.7466125,369003.7188
57,3.040721178,9.238458633,3730.371338,12390.54004,5.150977612,7009.240723,286.3402405,393531.1563
58,3.108341694,9.240309715,3800.607178,12337.95801,6.153887749,8347.032227,276.472168,368307.5625
59,3.149645567,9.419237137,3908.565186,12889.38574,6.247570038,8609.194336,280.9685059,381729.0938
60,3.033531904,9.503403664,3707.439941,12748.22949,6.196957111,8391.533203,287.6856995,392857.4375
61,3.123090982,9.255821228,3845.458008,12426.20215,3.928359509,5294.746094,279.5617065,376432.1875
62,2.908330441,9.250986099,3560.685303,12230.44336,6.112527847,8220.177734,279.4928589,371727.5313
63,3.01001811,9.476607323,3685.093506,13062.75684,6.125016689,8312.813477,286.6768799,394335.7188
64,3.152804136,9.309188843,3898.861328,12551.95117,6.159604073,8390.383789,282.144104,385171.2188
65,3.4333601,9.264931679,4233.290039,12503.76855,6.097660542,8297.49707,277.4856567,373093.5313
66,3.235821009,9.221874237,3938.909424,12107.32227,5.025188446,6585.047363,277.9957886,366889.1875
