Round,Benign objective (clipped),Adversarial objective (clipped),Benign objective,Adversarial objective
1,0.779233873,0,0.77973789,0
2,0.780745983,0,0.78125,0
3,0.781754017,0,0.780241907,0
4,0.780241907,0,0.780745983,0
5,0.785786271,0,0.665322602,0.916666687
6,0.786794364,0,0.680947602,0.916666687
7,0.785786271,0,0.693548381,0.916666687
8,0.784778237,0,0.70463711,0.916666687
9,0.790826619,0,0.71572578,0.916666687
10,0.790826619,0,0.722782254,0.916666687
11,0.79385078,0,0.726310492,0.916666687
12,0.794858873,0,0.732358873,0.916666687
13,0.796370983,0,0.73588711,0.916666687
14,0.796370983,0,0.737903237,0.916666687
15,0.796370983,0,0.743447602,0.916666687
16,0.796875,0,0.745967746,0.916666687
17,0.795866907,0,0.747479856,0.916666687
18,0.794354856,0,0.749495983,0.916666687
19,0.793346763,0,0.75151211,0.916666687
20,0.79536289,0,0.756048381,0.916666687
21,0.797883093,0,0.757056475,0.916666687
22,0.797883093,0,0.756552398,0.916666687
23,0.799395144,0,0.756552398,0.916666687
24,0.801915348,0,0.759576619,0.916666687
25,0.802419364,0,0.760584652,0.916666687
26,0.801915348,0,0.761592746,0.833333313
27,0.801915348,0,0.763104856,0.833333313
28,0.800907254,0,0.766129017,0.833333313
29,0.799395144,0,0.76713711,0.833333313
30,0.79838711,0,0.76864922,0.833333313
31,0.800907254,0,0.766633093,0.833333313
32,0.79989922,0,0.76713711,0.833333313
33,0.800403237,0,0.771169364,0.75
34,0.79838711,0,0.770665348,0.75
35,0.79838711,0,0.772177398,0.75
36,0.796370983,0,0.769153237,0.666666687
37,0.794354856,0,0.767641127,0.666666687
38,0.793346763,0,0.769153237,0.583333313
39,0.794858873,0,0.768145144,0.583333313
40,0.794354856,0,0.770161271,0.583333313
41,0.794858873,0,0.769657254,0.583333313
42,0.796370983,0,0.768145144,0.583333313
43,0.794858873,0,0.770161271,0.583333313
44,0.798891127,0,0.770665348,0.583333313
45,0.796370983,0,0.770665348,0.583333313
46,0.799395144,0,0.772177398,0.5
47,0.795866907,0,0.772177398,0.416666657
48,0.797379017,0,0.772681475,0.416666657
49,0.796370983,0,0.770161271,0.416666657
50,0.798891127,0,0.769657254,0.416666657
51,0.797379017,0,0.770665348,0.416666657
52,0.796875,0,0.771673381,0.416666657
53,0.795866907,0,0.76864922,0.416666657
54,0.797379017,0,0.76864922,0.416666657
55,0.796370983,0,0.771169364,0.416666657
56,0.792842746,0,0.770665348,0.416666657
57,0.793346763,0,0.76864922,0.416666657
58,0.79536289,0,0.76713711,0.416666657
59,0.797883093,0,0.769657254,0.416666657
60,0.796875,0,0.772177398,0.416666657
61,0.799395144,0,0.773185492,0.416666657
62,0.797379017,0,0.771673381,0.416666657
63,0.794858873,0,0.772681475,0.416666657
