Round,quantization_det_higher_loss_evaluation/test_accuracy,quantization_lenet5_prob_4_3_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_evaluation/test_accuracy,quantization_lenet5_baseline_evaluation/test_accuracy,quantization_baseline_evaluation/test_accuracy,quantization_det_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_deterministic_evaluation/test_accuracy,quantization_lenet5_8_7_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_2bits_evaluation/test_accuracy,quantization_prob_evaluation/test_accuracy,quantization_prob_higher_loss_evaluation/test_accuracy,quantization_prob_higher_loss_lessfrac_32_evaluation/test_accuracy,quantization_lenet5_det_8_7_evaluation/test_accuracy,quantization_4_evaluation/test_accuracy
1,0.18727941811084747,0.1396169364452362,0.20325981080532074,0.14415322244167328,0.2058333307504654,0.09985294193029404,0.1986764669418335,0.14415322244167328,0.17879901826381683,0.20735293626785278,0.2045588195323944,0.20549020171165466,0.14415322244167328,0.19460783898830414
2,0.20686274766921997,0.12147177755832672,0.3500245213508606,0.14919355511665344,0.3746568560600281,,0.3580882251262665,0.1552419364452362,0.3085049092769623,0.37495097517967224,0.3618382215499878,0.3502941131591797,0.15272177755832672,0.39186275005340576
3,0.20999999344348907,0.13104838132858276,0.5022549033164978,0.1552419364452362,0.566715657711029,,0.5638235211372375,0.15070565044879913,0.37958332896232605,0.5701960921287537,0.544901967048645,0.49151960015296936,0.1542338728904724,0.512843132019043
4,0.2093382328748703,0.14566531777381897,0.6025735139846802,0.1577620953321457,0.6698529124259949,,0.67208331823349,0.1542338728904724,0.5419607758522034,0.6704166531562805,0.6587744951248169,0.6032353043556213,0.1552419364452362,0.6603676676750183
5,0.20936274528503418,0.16431452333927155,0.6460539102554321,0.16381047666072845,0.7082107663154602,,0.7141666412353516,0.16078628599643707,0.5683088302612305,0.7098039388656616,0.7098774313926697,0.6498284339904785,0.1557459682226181,0.716568648815155
6,0.20936274528503418,0.1733870953321457,0.6875244975090027,0.1723790317773819,0.7322549223899841,,0.7293627262115479,0.16935484111309052,0.5581127405166626,0.7331862449645996,0.7316666841506958,0.6888235211372375,0.15625,0.7290686368942261
7,0.20936274528503418,0.19506047666072845,0.7176470756530762,0.18497984111309052,0.7528431415557861,,0.7481127381324768,0.18094758689403534,0.6778921484947205,0.7527941465377808,0.748161792755127,0.7149754762649536,0.15625,0.7477205991744995
8,0.20936274528503418,0.17943547666072845,0.7450980544090271,0.19254031777381897,0.7688480615615845,,0.7597303986549377,0.19405241310596466,0.7126470804214478,0.7690685987472534,0.7685784101486206,0.7415686249732971,0.15625,0.7661274671554565
9,0.20936274528503418,0.18497984111309052,0.7403921484947205,0.2011088728904724,0.7843137383460999,,0.7699264883995056,0.2026209682226181,0.6384313702583313,0.784583330154419,0.7816176414489746,0.7371078133583069,0.15625,0.7745588421821594
10,0.20936274528503418,0.2011088728904724,0.7804166674613953,0.21219758689403534,0.7979166507720947,,0.7803676724433899,0.20967741310596466,0.718946099281311,0.7975980639457703,0.795098066329956,0.7789461016654968,0.15625,0.7873529195785522
11,0.20936274528503418,0.19254031777381897,0.7933578491210938,0.21471774578094482,0.810661792755127,,0.7877451181411743,0.20967741310596466,0.7251225709915161,0.8103676438331604,0.8094853162765503,0.7930147051811218,0.15625,0.7968382239341736
12,0.20936274528503418,0.1895161271095276,0.8100244998931885,0.21875,0.8210294246673584,,0.795098066329956,0.2192540317773819,0.7370343208312988,0.8214951157569885,0.8190686106681824,0.8089951276779175,0.15625,0.8093627691268921
13,0.20936274528503418,0.19153225421905518,0.8075735569000244,0.22580644488334656,0.8305637240409851,,0.801764726638794,0.22379031777381897,0.7651960849761963,0.8304901719093323,0.8307598233222961,0.8063480257987976,0.15625,0.8278186321258545
