Round,e3_cifar_resnet18_long_STRIPES_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_STRIPES_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_WALL_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_WALL_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_WALL_lrlow_evaluation/test_accuracy,e3_cifar_resnet18_long_WALL_lrlow_evaluation/adv_success,e3_cifar_resnet18_long_STRIPES_lrlow100_evaluation/test_accuracy,e3_cifar_resnet18_long_STRIPES_lrlow100_evaluation/adv_success,e3_cifar_resnet18_long_GREEN_lrlow10_evaluation/test_accuracy,e3_cifar_resnet18_long_GREEN_lrlow10_evaluation/adv_success,e3_cifar_resnet18_long_GREEN_lrlow100_evaluation/test_accuracy,e3_cifar_resnet18_long_GREEN_lrlow100_evaluation/adv_success
1,0.8833598494529724,0.0,0.8832603693008423,0.0,0.8832603693008423,0.0,0.8832603693008423,0.0,0.8835589289665222,0.0,0.8832603693008423,0.0
2,0.8833598494529724,0.0,0.8835589289665222,0.0,0.8835589289665222,0.0,0.8834593892097473,0.0,0.883957028388977,0.0,0.8834593892097473,0.0
3,0.8840565085411072,0.0,0.8840565085411072,0.0,0.8837579488754272,0.0,0.8838574886322021,0.0,0.884255588054657,0.0,0.8838574886322021,0.0
4,0.8848527073860168,0.0,0.8854498267173767,0.0,0.8838574886322021,0.0,0.8836584687232971,0.0,0.8851512670516968,0.0,0.8838574886322021,0.0
5,0.8017516136169434,0.9984375238418579,0.8352906107902527,1.0,0.8359872698783875,1.0,0.8055334687232971,1.0,0.7612460255622864,0.996874988079071,0.7580612897872925,0.996874988079071
6,0.8426552414894104,0.9546874761581421,0.862460196018219,0.9984375238418579,0.8407643437385559,1.0,0.8113057613372803,1.0,0.8101114630699158,0.9473958611488342,0.7660230994224548,0.987500011920929
7,0.8589769005775452,0.4296875,0.8671377301216125,0.9770833253860474,0.8455414175987244,1.0,0.8190684914588928,1.0,0.8536027073860168,0.3947916626930237,0.7733877301216125,0.9906250238418579
8,0.8613654375076294,0.234375,0.8698248267173767,0.7854166626930237,0.8541003465652466,0.9984375238418579,0.8282245397567749,1.0,0.8707205653190613,0.13177083432674408,0.7821456789970398,0.9828125238418579
9,0.8630573153495789,0.09739582985639572,0.8700239062309265,0.5562499761581421,0.8572850227355957,0.995312511920929,0.8417595624923706,0.9864583611488342,0.8770899772644043,0.04010416567325592,0.7923964858055115,0.973437488079071
10,0.8604697585105896,0.04479166492819786,0.8693272471427917,0.3505208194255829,0.8605692386627197,0.9984375238418579,0.8520103693008423,0.9281250238418579,0.8786823153495789,0.0031250000465661287,0.8078224658966064,0.932812511920929
11,0.859175980091095,0.01875000074505806,0.8666401505470276,0.24114583432674408,0.862261176109314,0.9921875,0.8577826619148254,0.7682291865348816,0.8779856562614441,0.0,0.8197651505470276,0.8453124761581421
12,0.8553941249847412,0.02291666716337204,0.8631568551063538,0.11927083134651184,0.8654458522796631,0.9984375238418579,0.8610668778419495,0.5874999761581421,0.8805732727050781,0.0,0.8334991931915283,0.6916666626930237
13,0.8559912443161011,0.010416666977107525,0.8632563948631287,0.0494791679084301,0.8668391704559326,0.9984375238418579,0.8642516136169434,0.5005208253860474,0.8804737329483032,0.0,0.8450437784194946,0.5473958253860474
14,0.8549960255622864,0.01354166679084301,0.8621616363525391,0.00937500037252903,0.8684315085411072,0.996874988079071,0.8653463125228882,0.4322916567325592,0.8777866363525391,0.0,0.8549960255622864,0.3473958373069763
15,0.8561902642250061,0.004687500186264515,0.8618630766868591,0.0062500000931322575,0.8694267272949219,0.9880208373069763,0.8656449317932129,0.3984375,0.8786823153495789,0.0,0.8610668778419495,0.2567708194255829
16,0.8572850227355957,0.004687500186264515,0.8621616363525391,0.0015625000232830644,0.8701233863830566,0.984375,0.865744411945343,0.3776041567325592,0.878582775592804,0.0,0.866042971611023,0.23333333432674408
17,0.8584793210029602,0.0031250000465661287,0.8630573153495789,0.0,0.8707205653190613,0.987500011920929,0.8658439517021179,0.3244791626930237,0.8788813948631287,0.0,0.868630588054657,0.18385416269302368
18,0.8565883636474609,0.004687500186264515,0.8642516136169434,0.0,0.8703224658966064,0.9692708253860474,0.8667396306991577,0.3135416805744171,0.8802746534347534,0.0,0.8703224658966064,0.1197916641831398
19,0.8584793210029602,0.0015625000232830644,0.8640525341033936,0.0,0.8710191249847412,0.9755208492279053,0.8668391704559326,0.2927083373069763,0.8808718323707581,0.0,0.8715167045593262,0.10625000298023224
20,0.862460196018219,0.0031250000465661287,0.8642516136169434,0.0,0.8709195852279663,0.9359375238418579,0.8674362897872925,0.2723958194255829,0.8803741931915283,0.0,0.8730095624923706,0.07239583134651184
21,0.8654458522796631,0.0,0.8648487329483032,0.0,0.8718152642250061,0.9447916746139526,0.8681329488754272,0.28854167461395264,0.8800756335258484,0.0,0.8739052414894104,0.05572916567325592
22,0.8663415312767029,0.0072916666977107525,0.8658439517021179,0.0,0.8729100227355957,0.9177083373069763,0.8687300682067871,0.2838541567325592,0.8828622698783875,0.0,0.8750995397567749,0.05416666716337204
23,0.8684315085411072,0.004687500186264515,0.8669387102127075,0.0,0.8736066818237305,0.9192708134651184,0.8690286874771118,0.2723958194255829,0.8831608295440674,0.0,0.8750995397567749,0.01875000074505806
24,0.8690286874771118,0.0031250000465661287,0.8665406107902527,0.0,0.8737062215805054,0.887499988079071,0.8698248267173767,0.2744791805744171,0.883957028388977,0.0,0.875199019908905,0.03802083432674408
25,0.8696258068084717,0.00572916679084301,0.8697253465652466,0.0,0.8739052414894104,0.8760416507720947,0.8704219460487366,0.25,0.8837579488754272,0.0,0.8760947585105896,0.02187499962747097
26,0.8682324886322021,0.0015625000232830644,0.8718152642250061,0.0,0.8752985596656799,0.8223958611488342,0.8706210255622864,0.26770833134651184,0.8828622698783875,0.0,0.8767914175987244,0.02135416679084301
27,0.8691281676292419,0.0015625000232830644,0.8705214858055115,0.0,0.875199019908905,0.7994791865348816,0.8708200454711914,0.2682291567325592,0.8830612897872925,0.0,0.8771895170211792,0.02500000037252903
28,0.8691281676292419,0.010416666977107525,0.8722133636474609,0.0,0.8749004602432251,0.8046875,0.8710191249847412,0.27916666865348816,0.8840565085411072,0.0,0.8777866363525391,0.01875000074505806
29,0.8692277073860168,0.0015625000232830644,0.8737062215805054,0.0,0.8755971193313599,0.8203125,0.8716162443161011,0.27135416865348816,0.8834593892097473,0.0,0.8788813948631287,0.01197916641831398
30,0.8691281676292419,0.0031250000465661287,0.8735071420669556,0.0,0.8758956789970398,0.7817708253860474,0.871715784072876,0.2723958194255829,0.8847531676292419,0.0,0.8797770738601685,0.004687500186264515
31,0.8701233863830566,0.0,0.8741043210029602,0.0,0.8761942386627197,0.7203124761581421,0.8724124431610107,0.2864583432674408,0.8850517272949219,0.0,0.8803741931915283,0.004687500186264515
32,0.8713176846504211,0.0031250000465661287,0.8738057613372803,0.0,0.8764928579330444,0.7317708134651184,0.8726114630699158,0.2802083194255829,0.884454607963562,0.0,0.8799760937690735,0.0015625000232830644
33,0.871914803981781,0.0031250000465661287,0.875,0.0,0.8765923380851746,0.7307291626930237,0.8733081221580505,0.2802083194255829,0.8819665312767029,0.0,0.8804737329483032,0.01354166679084301
34,0.8718152642250061,0.0,0.8759952187538147,0.0,0.8769904375076294,0.737500011920929,0.8740047812461853,0.29114583134651184,0.8815684914588928,0.0,0.8807722926139832,0.004166666883975267
35,0.8704219460487366,0.0031250000465661287,0.8775875568389893,0.0,0.8769904375076294,0.6979166865348816,0.8740047812461853,0.2786458432674408,0.8819665312767029,0.0,0.8815684914588928,0.0
36,0.871715784072876,0.0,0.8773885369300842,0.0,0.8771895170211792,0.6895833611488342,0.8744028806686401,0.29635417461395264,0.8829618096351624,0.0,0.881667971611023,0.004687500186264515
37,0.8742038011550903,0.0015625000232830644,0.8776870965957642,0.0,0.8774880766868591,0.6614583134651184,0.8747014403343201,0.2697916626930237,0.883957028388977,0.0,0.8818670511245728,0.0015625000232830644
38,0.8733081221580505,0.004687500186264515,0.8771895170211792,0.0,0.8777866363525391,0.6713541746139526,0.875,0.2880208194255829,0.8843550682067871,0.0,0.8825637102127075,0.0015625000232830644
39,0.8764928579330444,0.0015625000232830644,0.8766918778419495,0.0,0.878284215927124,0.6348958611488342,0.875199019908905,0.2786458432674408,0.8852508068084717,0.0,0.8829618096351624,0.0031250000465661287
40,0.8754976391792297,0.0015625000232830644,0.8770899772644043,0.0,0.8786823153495789,0.6208333373069763,0.875,0.2723958194255829,0.8817675113677979,0.0,0.8832603693008423,0.0
41,0.8761942386627197,0.0015625000232830644,0.8772889971733093,0.0,0.8789808750152588,0.6333333253860474,0.8753980994224548,0.27656251192092896,0.8825637102127075,0.0,0.8833598494529724,0.0
42,0.8772889971733093,0.0062500000931322575,0.878284215927124,0.0,0.8796775341033936,0.6328125,0.8757961988449097,0.26875001192092896,0.8850517272949219,0.0,0.8831608295440674,0.0
43,0.8769904375076294,0.004687500186264515,0.8804737329483032,0.0,0.8802746534347534,0.6395833492279053,0.8769904375076294,0.2838541567325592,0.8851512670516968,0.0,0.8831608295440674,0.004687500186264515
44,0.8765923380851746,0.0015625000232830644,0.877886176109314,0.0,0.8803741931915283,0.5880208611488342,0.8764928579330444,0.26875001192092896,0.8857483863830566,0.0,0.8829618096351624,0.0015625000232830644
45,0.8769904375076294,0.004687500186264515,0.8807722926139832,0.0,0.8808718323707581,0.5911458134651184,0.8765923380851746,0.2916666567325592,0.8849522471427917,0.0,0.8832603693008423,0.0
46,0.8775875568389893,0.0,0.878085196018219,0.0,0.8805732727050781,0.5755208134651184,0.8765923380851746,0.2770833373069763,0.8858479261398315,0.0,0.8837579488754272,0.0
47,0.8789808750152588,0.0015625000232830644,0.8802746534347534,0.0,0.8805732727050781,0.581250011920929,0.8764928579330444,0.2744791805744171,0.887042224407196,0.0,0.8837579488754272,0.0
48,0.878582775592804,0.0031250000465661287,0.8804737329483032,0.0,0.8812699317932129,0.5687500238418579,0.8763933181762695,0.29114583134651184,0.8857483863830566,0.0,0.8838574886322021,0.0
49,0.877886176109314,0.0015625000232830644,0.8807722926139832,0.0,0.8814689517021179,0.5729166865348816,0.8764928579330444,0.2854166626930237,0.8863455653190613,0.0,0.8841560482978821,0.0
50,0.8774880766868591,0.004687500186264515,0.8805732727050781,0.0,0.8808718323707581,0.5395833253860474,0.8761942386627197,0.29479166865348816,0.8864450454711914,0.0,0.8840565085411072,0.0
51,0.8771895170211792,0.0015625000232830644,0.8809713125228882,0.0,0.881667971611023,0.5484374761581421,0.8764928579330444,0.27812498807907104,0.8864450454711914,0.0,0.883957028388977,0.0
