dataset,type,acc,mean_s,sum_s,bandwidth_GB,mean_factor,bw_factor
CIFAR Large,linf_opt,0.6534,130.73571052631587,5098.6927105263185,102.76000000000012,6,25
CIFAR Large,plain,0.6644,20.971710526315793,817.8967105263159,4.189999999999999,1,1
CIFAR Small,l2,0.5415,281.90931578947374,10994.463315789475,34.76999999999999,134,37
CIFAR Small,l2_opt,0.5429,52.876000000000005,2115.0400000000004,6.729999999999997,25,7
CIFAR Small,linf,0.541,251.6741578947369,9815.292157894739,23.340000000000007,120,25
CIFAR Small,linf_opt,0.5352,38.21702631578947,1490.4640263157894,23.340000000000007,18,25
CIFAR Small,plain,0.5384,2.105277777777778,77.89527777777778,0.9499999999999997,1,1
MNIST,l2,0.9744,132.01607692307692,5280.643076923077,10.75,39,37
MNIST,l2_opt,0.9713,26.019948717948715,1040.7979487179487,2.8100000000000014,8,10
MNIST,linf,0.9737,123.71951282051286,4948.780512820515,7.209999999999999,37,25
MNIST,linf_opt,0.9742,19.632641025641025,785.3056410256411,7.209999999999999,6,25
MNIST,plain,0.9747,3.3711025641025643,134.84410256410257,0.2899999999999997,1,1
