,round,clients
0,1,"[929, 984, 436, 197, 400, 95, 1023, 1952, 632, 1249, 348, 663, 199, 146, 392, 569, 460, 50, 386, 261, 736, 76, 374, 747, 111, 718, 285, 1044, 634, 36418]"
1,2,"[1285, 1337, 68, 1999, 2191, 1540, 1303, 1918, 2427, 2623, 1669, 3124, 1126, 1466, 1867, 1891, 1425, 1986, 2032, 3120, 3051, 1898, 1822, 1545, 1779, 2733, 1544, 2620, 1139, 32269]"
2,3,"[464, 1220, 591, 1116, 542, 582, 309, 558, 352, 797, 912, 996, 726, 46, 270, 1216, 484, 344, 397, 549, 148, 649, 711, 217, 334, 917, 213, 256, 231, 37587]"
3,4,"[2409, 2645, 2471, 1338, 976, 1974, 3759, 1668, 2555, 3156, 924, 4266, 1297, 2440, 1056, 2149, 625, 2836, 2812, 3918, 2418, 1889, 3279, 1559, 2733, 3539, 3584, 2183, 2314, 30508]"
4,5,"[436, 515, 444, 1528, 1069, 245, 562, 1448, 723, 1219, 668, 1175, 2161, 788, 467, 1021, 1133, 888, 905, 1608, 890, 433, 834, 1314, 1384, 1473, 1379, 552, 85, 35167]"
5,6,"[2245, 928, 3067, 1067, 1705, 1792, 1773, 2288, 2291, 2627, 1620, 1631, 2754, 1838, 1968, 2903, 1916, 1672, 2003, 1497, 2016, 202, 3257, 1179, 1367, 1771, 1776, 1800, 2618, 33479]"
6,7,"[1070, 1162, 1062, 618, 1355, 1516, 1195, 773, 515, 683, 273, 661, 1504, 1314, 325, 596, 1983, 1991, 1056, 1276, 1362, 1053, 1794, 997, 281, 752, 1850, 1189, 1573, 34245]"
7,8,"[2833, 696, 2369, 2093, 2262, 2212, 3322, 1513, 2375, 1147, 2139, 3308, 2217, 2254, 2792, 3745, 1360, 2085, 1870, 1647, 3522, 3123, 1988, 1940, 1187, 1551, 2823, 2381, 2098, 36301]"
8,9,"[1166, 1679, 530, 1125, 1512, 786, 65, 1602, 2498, 2257, 2074, 973, 73, 1943, 924, 1722, 1268, 694, 2506, 202, 1783, 3708, 900, 1058, 1078, 1307, 2125, 903, 876, 29190]"
9,10,"[2267, 2113, 2179, 128, 1904, 1317, 967, 2239, 1890, 4064, 1510, 2012, 2549, 1830, 743, 1898, 2005, 1662, 1346, 3379, 1567, 2793, 1822, 1395, 3526, 159, 2709, 1549, 3250, 30151]"
10,11,"[357, 1376, 877, 416, 224, 620, 1147, 1398, 2138, 575, 387, 1469, 246, 919, 1025, 318, 126, 370, 542, 547, 801, 524, 430, 1610, 686, 1507, 646, 1896, 510, 31465]"
11,12,"[584, 1185, 883, 1827, 707, 669, 898, 2027, 1562, 2213, 2561, 1121, 272, 1230, 807, 1410, 1385, 1691, 2821, 1709, 1095, 984, 1352, 1247, 1746, 966, 782, 1919, 1804, 30460]"
